symbol,actual1_T
AAPL,274.61
ACCO,3.77
ADV,0.8393
AENT,7.35
AHCO,10.35
AHL,37.09
AII,20.18
ALAB,144.94
ALIT,2.06
ALK,52.42
AMTM,29.13
AMZN,222.56
ARCO,7.1995
ARDT,8.93
ASIX,16.07
ASML,1076.05
ATR,122.83
AVGO,340.651520023385
AVNW,21.06
AXON,555.06
BA,206.71
BHVN,11.03
BIIB,171.5
BILL,54.21
BMRN,51.77
BRZE,33.94
BTM,1.32
BWMX,14.52
CAL,13.7475355805243
CBZ,53.49
CCJ,87.05
CDE,16.89
CG,57.78
CHA,13.69
CHE,429.13
CHMI,2.47301886792453
CIVI,26.8
CLDX,26.68
CLS,288.87
CMPS,6.39
CON,19.55
COP,90.77
COUR,7.94
CPRX,24.19
CRM,254.499405651538
CRNT,1.99
CRNX,48.61
CRTO,20.88
CSTM,18.51
CTRA,25.3
CVE,16.83
CVNA,455.18
CVS,77.6653332533445
CWAN,21.5
CWT,43.9
DAR,35.03
DAVA,7.01
DBRG,13.4612247557003
DDI,8.81
DDL,2.28
DDOG,140.05
DHR,224.388241415193
DIS,111.62
DOX,79.112150005553
DUOL,186.77
DVN,35.09
DXCM,66.37
EEFT,76.5
EFX,218.53
ENOV,26.07
ERIE,286.044760734914
EVH,4.07
FANG,149.06
FINV,5.11
FLOC,17.94
FSLR,258.51
GDEV,16.065
GDYN,9.67
GE,298.385245239469
GOOGL,306.57
GPCR,61.71
HAL,27.19
HBM,18.57
HLF,14.45
HQY,96.0
HRTG,29.07
HTO,49.36
IBM,303.18
IDYA,33.81
IMCR,36.21
IMVT,26.61
IMXI,15.38
INSW,48.05
ITGR,73.9
JANX,14.65
KELYA,8.9
KINS,16.36
KNF,76.22
KO,70.37
KOP,28.62
KRO,4.67
LFST,6.88
LKQ,29.92
LNTH,65.17
LVO,5.1
LW,59.8
MA,565.165682066585
MANH,175.54
MATV,12.82
MAX,12.95
MD,22.32
MDB,421.5
MDLZ,53.4733130866924
MDXG,7.25
META,657.15
MNKD,5.91
MPAA,12.6
MRVL,84.0094308357349
MSFT,476.39
MTDR,41.37
MU,232.419201996706
NESR,14.46
NRDS,13.98
NVDA,177.72
NX,16.23
PACS,34.2
PAR,35.66
PEP,150.37
PFE,25.1090682515337
PFGC,94.33
PG,144.195112256856
PMTS,16.58
PRCT,35.66
PRU,117.08
QUAD,6.54
RARE,34.34
RCI,36.8
RCKT,3.43
SBUX,85.08
SHOP,163.14
SLB,37.61
SLGN,40.58
SLP,18.86
SLVM,50.8327470028938
SMCI,31.66
SMP,38.35
SNDX,20.72
SNPS,463.34
SPB,60.2
SPGI,499.86
SPNT,21.95
SPRY,10.66
SSTK,19.23
STZ,141.656304166399
TBLA,3.95
TCOM,70.89
TEAD,0.6735
TNC,76.47
TRVG,2.93
TSLA,489.88
TWLO,137.5
TX,37.83
TXG,15.76
TXO,11.09
UAL,112.48
UBER,80.92
UHS,222.64
UIS,2.84
UPWK,21.44
UTL,49.75
UTZ,10.63
VCEL,35.5
VERA,48.3
W,100.08
WDAY,216.11
WELL,190.4
WMT,115.42
XPO,148.15
ZBH,90.6703163792156
ZM,87.91
ZTS,122.702312353559
