symbol,forecast1_T,forecast10_T,consensus1_T,actual1_T
AAPL,270.39896653899956,266.1820277455913,270.39896653899956,268.47
ACCO,3.48382838930469,4.8333122093300105,3.48382838930469,3.44
ADV,1.2013201342429964,1.6258109514134698,1.2013201342429964,1.13
AENT,6.3,6.427604323740892,6.3,6.545
AHCO,9.61,9.713985254202314,9.61,9.5
AHL,36.8705171201413,37.81825689274773,36.8705171201413,
AII,24.857315777711335,24.87432814558499,24.857315777711335,
ALAB,163.00913121565597,169.45053892001712,163.00913121565597,
ALIT,2.3926292673673015,3.646833304233266,2.3926292673673015,
ALK,41.17524760117871,48.08169624291678,41.17524760117871,
AMRK,25.0174917956104,29.034291400136503,25.0174917956104,
AMTM,21.81397143762908,23.53965798161934,21.81397143762908,
AMZN,243.04,243.80317201314264,243.04,
ARCO,7.007700783084147,7.816159386358947,7.007700783084147,
ARDT,14.47590761762811,15.664682544721511,14.47590761762811,
ASIX,18.169967030425322,20.718424905953874,18.169967030425322,
ASML,1029.2,1028.475784114538,1029.2,
ATR,116.27777799360338,131.68049618260028,116.27777799360338,
AVGO,355.59,356.7185007380835,355.59,
AVNW,23.33,23.666188314471196,23.33,
AXON,587.7859196828608,665.8328885652609,587.7859196828608,
BA,196.7161719822907,211.45683782797101,196.7161719822907,
BHVN,8.539383954243966,18.256116648942076,8.539383954243966,
BIIB,156.91243153437276,160.86251753940414,156.91243153437276,
BILL,44.418811963634795,48.95405176108316,44.418811963634795,
BMRN,51.89702979929746,62.01982825669434,51.89702979929746,
BRZE,27.26996704731602,31.829266837034332,27.26996704731602,
BTM,2.6829482998093592,3.936833304233266,2.6829482998093592,
BWMX,14.012275351425632,15.173795614355328,14.012275351425632,
CAL,11.052145235035567,13.1156002285678,11.052145235035567,
CBZ,53.638943993949795,64.38042229488421,53.638943993949795,
CCJ,90.24,90.34091784257393,90.24,
CDE,14.455885615390725,16.056673544864367,14.455885615390725,
CG,52.54774487201241,56.86023364708497,52.54774487201241,
CHE,430.59,435.127008539547,430.59,
CHMI,2.3125412584177685,2.7506739178743196,2.3125412584177685,
CIVI,26.378987947752467,30.203941127918604,26.378987947752467,
CLDX,23.285588602076754,31.126942072348058,23.285588602076754,
CLS,342.7726452801004,334.28548320661577,342.7726452801004,
CMPS,5.596149625348626,8.200145513563278,5.596149625348626,
CON,18.730583093072056,21.244526912271233,18.730583093072056,
COP,85.75423558271257,92.99239678735259,85.75423558271257,
COUR,7.998789893834619,9.134709171282996,7.998789893834619,
CPRX,21.013091348133745,24.458025507531623,21.013091348133745,
CRM,239.53322376693484,263.4001564260885,239.53322376693484,
CRNT,2.35,2.4236178790812843,2.35,
CRNX,43.537843865189934,53.08052467421152,43.537843865189934,
CRTO,22.63289270689711,26.28093006460215,22.63289270689711,
CSTM,15.43,15.500243726290059,15.43,
CTRA,26.525750252483412,27.82761372835352,26.525750252483412,
CVE,16.828492880520642,16.398008999857144,16.828492880520642,
CVNA,290.45918645771917,325.5268978667005,290.45918645771917,
CVS,78.66,78.89128283678036,78.66,
CWAN,15.907480777601014,19.712650672211556,15.907480777601014,
CWT,46.35,46.62299963492643,46.35,
DAR,31.92,32.34483651053158,31.92,
DAVA,8.9,9.142018777479723,8.9,
DBRG,10.94,11.110548086538309,10.94,
DDI,8.659515967668268,11.41399025412295,8.659515967668268,
DDL,1.7118811912962701,1.9616274146442119,1.7118811912962701,
DDOG,190.82,190.133513277567,190.82,
DHR,210.67,212.01137910509357,210.67,
DIS,110.6115513604239,116.63857454643576,110.6115513604239,
DOX,83.75203535897424,88.96373224234536,83.75203535897424,
DUOL,193.95313567353182,258.6676955921335,193.95313567353182,
DVN,32.465676627916984,35.75200338089872,32.465676627916984,
DXCM,58.08382849064889,68.54923834542309,58.08382849064889,
EEFT,72.24939507359755,83.97171687750989,72.24939507359755,
EFX,204.41463184256455,221.87171501246013,204.41463184256455,
ENOV,28.451265179321638,33.96101819812384,28.451265179321638,
ERIE,281.88976950011914,238.14363240266027,281.88976950011914,
EVH,6.006600671214983,8.466730924905955,6.006600671214983,
FANG,140.9248627478222,150.62649354772148,140.9248627478222,
FI,61.63,64.95170005238013,61.63,
FINV,6.026622673452366,7.4306780447929395,6.026622673452366,
FLOC,17.140644076690077,19.66839827939239,17.140644076690077,
FSLR,273.5864070409723,264.60588260503806,273.5864070409723,
