symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2
W,1.000770743158093,1.1647742587134584,110.89815717210837,95.21,,
ENOV,1.0156932648678907,1.1405339094931242,30.817226234504215,27.02,,
VCEL,1.0093896766306791,1.1229632616313898,40.68495896890525,36.23,,
HQY,1.00384219800725,1.1178151821151265,105.64471286170061,94.51,,
BABA,1.0031090857156892,1.1074060447671776,175.32452500753956,158.32,,
CDE,1.0055436016011192,1.0958461587300814,17.38012007745909,15.86,0.25,True
HRTG,1.0059207811123279,1.0941955873561897,29.247848050030953,26.73,,
ZTS,1.0088274286518315,1.091294700684789,129.48211623625022,118.65,0.21,True
PACS,1.0010064176612536,1.0874073272600022,33.44864938651767,30.76,0.2,False
MD,0.9984263687330718,1.0870905404555562,24.046442754876907,22.12,,
KOP,1.0204742715883455,1.0842659791060592,30.370290074760717,28.01,,
KRO,1.0088323808943154,1.0827764303080123,5.121532515356899,4.73,,
AII,1.0048698539176626,1.074199196000795,21.258402088855732,19.79,,
CON,1.0102009177029903,1.0683823983129968,20.801405295154044,19.47,,
BMRN,1.0164564381569863,1.067236033706617,56.99040419993334,53.4,,
DDOG,1.008479495825673,1.0671112378234524,161.5713125188489,151.41,0.1,False
CVS,1.0036912624565804,1.067051384015293,80.7010961730766,75.63,0.26,True
KO,1.0210979338974875,1.0669590046189743,74.6871303233282,70.0,0.22,True
CVX,1.0240734834480152,1.062429319375883,159.36439790638244,150.0,0.24,True
CLS,1.0023077807426533,1.0622405546897675,345.32378192409647,325.09,,
RCI,1.0166673430047077,1.0608617238879805,39.78231464579927,37.5,,
INSW,1.022774991220419,1.059955854655314,54.19554284852621,51.13,0.17,False
FSLR,0.9996792189498487,1.0590403668281079,272.8193888985889,257.61,0.24,True
UHS,1.0002015688504506,1.054554441639096,243.6864403739623,231.08,0.2,False
TXG,0.9965218192934807,1.05429647805878,18.73484841510452,17.77,,
CHA,1.0214575837666349,1.0535562459445795,15.36085006587197,14.58,,
SPB,1.0072234756852607,1.0463934217493374,59.8432397898446,57.19,,
SBUX,1.0208036868927701,1.0450061302956404,88.95092181076491,85.12,0.12,False
MATV,1.008558077343382,1.0441227819783372,12.613003206298313,12.08,,
DDI,1.026527256983744,1.041233048320905,9.59496254027714,9.215,0.0,False
ITGR,1.0046854138098331,1.0390742811351583,72.56894779447946,69.84,,
AHCO,1.0100144989147595,1.037297987485185,9.771347042110444,9.42,0.03,False
IMCR,1.0158144434846696,1.0371226087679102,40.219614768019554,38.78,,
